,hosp,hosp.1,hosp.2,rea,rea.1,rea.2,rad,rad.1,rad.2,dc,dc.1,dc.2,jour
0,2972.0,1685.0,1248.0,771.0,525.0,239.0,816.0,432.0,379.0,218.0,121.0,96.0,2020-03-18
1,4073.0,2256.0,1632.0,1002.0,689.0,284.0,1180.0,580.0,562.0,327.0,179.0,136.0,2020-03-19
2,5226.0,2912.0,2134.0,1297.0,905.0,362.0,1587.0,777.0,764.0,450.0,250.0,190.0,2020-03-20
3,5900.0,3298.0,2401.0,1453.0,1018.0,401.0,1811.0,881.0,888.0,525.0,297.0,219.0,2020-03-21
4,6954.0,3906.0,2815.0,1674.0,1176.0,461.0,2117.0,1031.0,1040.0,632.0,356.0,263.0,2020-03-22
5,8673.0,4882.0,3532.0,2080.0,1465.0,569.0,2567.0,1270.0,1247.0,860.0,497.0,350.0,2020-03-23
6,10163.0,5843.0,4149.0,2503.0,1773.0,694.0,3281.0,1609.0,1624.0,1100.0,661.0,425.0,2020-03-24
7,12072.0,7064.0,4856.0,2935.0,2127.0,785.0,4085.0,2000.0,2028.0,1388.0,818.0,557.0,2020-03-25
8,13879.0,8152.0,5570.0,3351.0,2437.0,888.0,4947.0,2424.0,2456.0,1696.0,1002.0,681.0,2020-03-26
9,15701.0,9288.0,6248.0,3758.0,2735.0,991.0,5698.0,2820.0,2806.0,1995.0,1175.0,809.0,2020-03-27
10,17580.0,10400.0,6995.0,4236.0,3105.0,1097.0,6624.0,3289.0,3251.0,2314.0,1374.0,927.0,2020-03-28
11,19311.0,11470.0,7643.0,4592.0,3397.0,1162.0,7131.0,3528.0,3516.0,2606.0,1561.0,1032.0,2020-03-29
12,20946.0,12457.0,8279.0,5056.0,3756.0,1268.0,7923.0,3940.0,3885.0,3024.0,1818.0,1191.0,2020-03-30
13,22672.0,13459.0,8984.0,5496.0,4069.0,1391.0,9443.0,4734.0,4599.0,3523.0,2143.0,1361.0,2020-03-31
14,24543.0,14568.0,9738.0,5940.0,4395.0,1506.0,10934.0,5539.0,5268.0,4032.0,2472.0,1537.0,2020-04-01
15,26131.0,15477.0,10391.0,6305.0,4646.0,1610.0,12427.0,6327.0,5961.0,4503.0,2767.0,1710.0,2020-04-02
16,27302.0,16104.0,10922.0,6556.0,4849.0,1651.0,14007.0,7177.0,6681.0,5091.0,3105.0,1954.0,2020-04-03
